t_s z_m c_kg_per_m3 X_kg_per_kg
1.503759398496240465e+02 1.499999999999999944e-01 3.397913501344610159e-04 7.672528190269005594e-05
1.503759398496240465e+02 1.600000000000000033e-01 3.019233043988849528e-04 6.231852348727704067e-05
1.503759398496240465e+02 1.700000000000000122e-01 2.701108557863376829e-04 5.115250912463382364e-05
1.503759398496240465e+02 1.799999999999999933e-01 2.431733840880376447e-04 4.240350076182541195e-05
1.503759398496240465e+02 1.900000000000000022e-01 2.201933769513971363e-04 3.547680649857233614e-05
1.503759398496240465e+02 2.000000000000000111e-01 2.004516750735781290e-04 2.993856422823053717e-05
1.503759398496240465e+02 2.099999999999999922e-01 1.833799541507364554e-04 2.546895315860443692e-05
1.503759398496240465e+02 2.200000000000000011e-01 1.685255459481421259e-04 2.182982389587605711e-05
1.503759398496240465e+02 2.300000000000000100e-01 1.555251750786564870e-04 1.884209693414316686e-05
1.503759398496240465e+02 2.399999999999999911e-01 1.440851934841256264e-04 1.636983250851836906e-05
1.503759398496240465e+02 2.500000000000000000e-01 1.339665890793814772e-04 1.430889628193541817e-05
1.503759398496240465e+02 2.600000000000000089e-01 1.249735296932411846e-04 1.257881944995948450e-05
1.503759398496240465e+02 2.700000000000000178e-01 1.169445447494101963e-04 1.111689926106541296e-05
1.503759398496240465e+02 2.800000000000000266e-01 1.097456894561689282e-04 9.873884990504924386e-06
1.503759398496240465e+02 2.899999999999999800e-01 1.032652096540256887e-04 8.810795824112566108e-06
1.503759398496240465e+02 2.999999999999999889e-01 9.740935044022859567e-05 7.896553871999246441e-06
1.503759398496240465e+02 3.099999999999999978e-01 9.209904241018963182e-05 7.106209162359028283e-06
1.503759398496240465e+02 3.200000000000000067e-01 8.726726567265947999e-05 6.419598098374820550e-06
1.503759398496240465e+02 3.300000000000000155e-01 8.285694060129010084e-05 5.820321845481185373e-06
1.503759398496240465e+02 3.400000000000000244e-01 7.881923044114409109e-05 5.294962680566538260e-06
1.503759398496240465e+02 3.500000000000000333e-01 7.511216784603319627e-05 4.832478660115326065e-06
1.503759398496240465e+02 3.599999999999999867e-01 7.169953764780617809e-05 4.423732878952436601e-06
1.503759398496240465e+02 3.699999999999999956e-01 6.854996342594576217e-05 4.061125022923472897e-06
1.503759398496240465e+02 3.800000000000000044e-01 6.563615703915921665e-05 3.738301191605518485e-06
1.503759398496240465e+02 3.900000000000000133e-01 6.293429913520743983e-05 3.449923997338722876e-06
1.503759398496240465e+02 4.000000000000000222e-01 6.042352545614558898e-05 3.191489373369027851e-06
1.503759398496240465e+02 4.100000000000000311e-01 5.808549900837787621e-05 2.959179795409098758e-06
1.503759398496240465e+02 4.199999999999999845e-01 5.590405224472079601e-05 2.749746054823574894e-06
1.503759398496240465e+02 4.299999999999999933e-01 5.386488658800614009e-05 2.560411544011743296e-06
1.503759398496240465e+02 4.400000000000000022e-01 5.195531912173317543e-05 2.388794387515758756e-06
1.503759398496240465e+02 4.500000000000000111e-01 5.016406824046205107e-05 2.232843792973788535e-06
1.503759398496240465e+02 4.600000000000000200e-01 4.848107161038122499e-05 2.090787789310885255e-06
1.503759398496240465e+02 4.700000000000000289e-01 4.689733102964976544e-05 1.961090127696894694e-06
1.503759398496240465e+02 4.799999999999999822e-01 4.540477976824076200e-05 1.842414589548447073e-06
1.503759398496240465e+02 4.899999999999999911e-01 4.399616876155492551e-05 1.733595309056988842e-06
1.503759398496240465e+02 5.000000000000000000e-01 4.266496867233082106e-05 1.633612000590801064e-06
1.503759398496240465e+02 5.100000000000000089e-01 4.140528535339789407e-05 1.541569202694762757e-06
1.503759398496240465e+02 5.200000000000000178e-01 4.021178666458734453e-05 1.456678824496566726e-06
1.503759398496240465e+02 5.300000000000000266e-01 3.907963894018792484e-05 1.378245417850365699e-06
1.503759398496240465e+02 5.400000000000000355e-01 3.800445168409719932e-05 1.305653707677985231e-06
1.503759398496240465e+02 5.500000000000000444e-01 3.698222930040477390e-05 1.238357999935305083e-06
1.503759398496240465e+02 5.600000000000000533e-01 3.600932885718533937e-05 1.175873156231684972e-06
1.503759398496240465e+02 5.700000000000000622e-01 3.508242303843055329e-05 1.117766880055287582e-06
1.503759398496240465e+02 5.799999999999999600e-01 3.419846756942764070e-05 1.063653104670839091e-06
1.503759398496240465e+02 5.899999999999999689e-01 3.335467250940358608e-05 1.013186309286968502e-06
1.503759398496240465e+02 5.999999999999999778e-01 3.254847689584678804e-05 9.660566197808460314e-07
1.503759398496240465e+02 6.099999999999999867e-01 3.177752630077045222e-05 9.219855744835667665e-07
1.503759398496240465e+02 6.199999999999999956e-01 3.103965292288815851e-05 8.807224553508938005e-07
1.503759398496240465e+02 6.300000000000000044e-01 3.033285789331720386e-05 8.420411011205725576e-07
